id,num_order,age,tel
1,178,59,258-930-3566
2,137,33,606-531-2240
3,178,23,821-975-1053
4,185,22,456-782-4819
5,46,25,492-690-6934
6,48,55,982-663-4120
7,118,60,568-420-6730
8,186,19,146-862-7831
9,123,53,636-089-4810
10,94,32,790-439-4981
11,114,22,074-554-3381
12,174,57,987-580-9323
13,110,55,190-429-4131
14,35,44,453-931-9442
15,40,59,466-341-7624
16,111,20,187-617-5236
17,192,60,226-575-6363
18,199,60,970-581-8082
19,26,43,662-612-1561
20,69,49,073-400-1971
21,62,48,886-058-0152
22,31,45,583-893-4345
23,68,47,268-919-6617
24,128,29,892-160-7742
25,87,56,108-813-0323
26,26,44,405-389-0066
27,154,37,229-089-2058
28,149,35,358-644-5026
29,93,44,992-404-8924
30,59,24,712-210-9943
31,154,55,023-223-5798
32,169,56,416-305-3519
33,104,42,448-602-7632
34,107,38,505-168-4117
35,183,24,723-778-1946
36,47,45,194-509-4163
37,138,39,891-744-4052
38,105,15,619-204-7279
39,53,47,905-438-9063
40,56,47,283-867-9263
41,14,39,181-799-2658
42,128,45,300-713-3908
43,62,45,525-866-1370
44,5,33,056-712-9920
45,18,16,843-545-3838
46,131,30,583-827-6542
47,15,28,062-829-1125
48,59,57,094-139-0701
49,121,30,679-770-1355
50,160,30,668-487-9530
51,8,46,756-178-7158
52,153,16,976-262-0651
53,92,26,845-862-8220
54,41,30,003-420-9756
55,70,58,857-297-0875
56,120,28,983-068-4767
57,25,26,776-416-6197
58,141,21,747-005-7692
59,186,53,167-809-1331
60,85,18,337-651-2396
61,76,54,377-439-9290
62,118,35,949-844-8678
63,142,46,181-361-3976
64,142,51,342-200-0160
65,71,29,962-544-3407
66,22,59,005-149-3977
67,16,31,411-929-4314
68,15,30,382-866-2611
69,138,18,352-380-7973
70,118,16,007-411-3014
71,46,40,597-442-5627
72,158,52,276-160-4147
73,128,45,572-874-0958
74,97,43,445-184-7244
75,101,60,838-772-8138
76,78,28,732-791-2179
77,30,41,091-163-3061
78,10,26,603-079-4594
79,113,33,183-464-1965
80,71,52,607-016-6599
81,181,20,057-931-1627
82,29,47,221-353-7302
83,33,51,712-464-7058
84,188,25,312-610-7032
85,67,45,585-192-5337
86,48,41,005-480-8883
87,196,15,276-876-4471
88,83,49,044-244-9527
89,62,50,002-619-7791
90,193,58,916-210-5918
91,157,47,580-641-3576
92,91,50,023-860-1141
93,15,42,151-678-1569
94,81,59,507-805-6415
95,91,20,921-420-7458
96,200,51,214-434-1575
97,119,27,390-794-8354
98,153,28,878-057-4472
99,66,37,244-322-8785
100,120,30,736-533-4553
